Year,Quarter,HIV (Search Term - All),TB causes + causes of TB (Search Term - Health),TB test (Search Term - Health),TB (Search Term - Health),tuberculosis symptoms (Search Term - All),tb symptoms + tuberculosis symptoms (Search Term - All),HIV (Virus - Health),HIV (Virus - All),TB (Search Term - All),HIV (Search Term - Health),TB test (Search Term - All),Diabetes (Search Term - All),Mantoux test (Search Term - Health),TB causes + causes of TB (Search Term - All),tb symptoms + tuberculosis symptoms (Search Term - Health),Mantoux test (Diagnostic test - Health),Diabetes (Search Term - Health),Tuberculosis (Disease - Health),Tuberculosis (Search Term - All),tb symptoms (Search Term - All),Mantoux test (Diagnostic test - All),tuberculosis symptoms (Search Term - Health),Tuberculosis (Search Term - Health),Mantoux test (Search Term - All),Diabetes (Disease - Health),Tuberculosis (Disease - All),tb symptoms (Search Term - Health),Diabetes (Disease - All)
2012,1,67,0,0,68,11,47,73,66,10,74,0,81,0,0,51,0,82,66,56,50,0,8,55,0,85,69,31,84
2012,2,69,8,0,67,8,48,77,71,11,77,0,80,8,12,48,0,81,64,51,49,0,0,53,0,84,68,42,82
2012,3,67,0,0,66,4,45,76,68,10,75,0,74,0,20,47,0,76,62,50,47,6,0,51,0,77,64,43,76
2012,4,51,0,0,43,0,22,59,48,8,59,0,66,0,0,29,0,66,38,32,25,0,7,28,0,69,39,24,69
2013,1,48,0,0,57,0,26,54,46,9,55,0,72,0,0,38,0,73,53,42,29,0,0,48,0,77,55,17,74
2013,2,51,0,0,51,0,34,57,49,9,58,0,66,0,5,32,8,66,47,40,33,0,0,46,0,68,47,20,68
2013,3,51,5,0,49,0,38,58,49,9,59,0,70,0,3,44,0,70,45,36,46,8,0,39,0,71,45,27,69
2013,4,52,0,0,45,3,41,58,48,8,59,0,62,4,3,45,4,63,39,25,53,9,0,28,0,66,40,44,66
2014,1,60,3,8,48,2,39,63,55,9,65,8,56,0,8,44,3,57,42,29,43,12,3,30,0,64,45,37,62
2014,2,59,0,0,48,0,36,63,54,9,64,0,55,0,5,39,0,56,40,26,42,0,5,26,0,61,43,40,60
2014,3,70,9,0,58,2,55,75,66,21,76,0,62,0,24,56,6,62,48,31,62,0,11,32,0,66,53,51,65
2014,4,52,6,0,46,5,44,57,46,12,59,0,58,0,13,48,0,59,39,24,51,7,0,28,0,63,41,46,63
2015,1,58,4,0,51,0,42,60,52,9,62,0,59,0,13,48,4,60,43,30,48,10,10,32,0,63,45,39,63
2015,2,56,0,0,51,0,45,60,51,9,63,0,61,0,3,50,0,61,43,30,57,4,0,31,0,64,44,50,64
2015,3,69,0,13,57,4,53,73,63,9,74,13,65,0,14,59,0,66,46,30,66,3,10,33,8,66,47,59,65
2015,4,62,6,8,47,7,46,64,54,8,67,8,61,0,11,52,6,62,38,23,55,14,10,26,0,65,39,52,64
2016,1,72,2,0,48,4,43,71,61,9,77,0,57,0,22,46,5,58,39,23,49,3,0,25,0,61,41,45,61
2016,2,64,7,0,50,2,41,67,58,9,71,0,58,0,10,46,5,58,41,28,48,8,7,30,0,61,42,45,61
2016,3,76,10,19,62,2,52,79,68,9,82,19,61,0,23,56,0,62,53,41,59,6,3,44,0,64,53,52,63
